innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
1.7883,1.9778,0.9657,0.7519,1.4278,5013.0000,162,Infratil Limited,2012
0.5474,0.7192,0.1910,0.6147,1.2234,1172.0000,163,Infratil Limited,2011
1.1361,1.4160,0.9901,1.0678,1.6856,1202.0000,164,Infratil Limited,2012
0.3659,0.2062,0.8416,0.6597,0.9334,903.0000,165,Infratil Limited,2011
1.1938,0.4594,1.5607,1.5857,1.2592,1218.0000,166,Infratil Limited,2010
1.1327,0.6425,0.5564,1.2319,0.0000,1098.0000,167,Kiwi Income Property Trust,2011
0.6829,0.8273,1.0487,0.3615,1.4902,819.0000,168,Kiwi Income Property Trust,2011
1.7130,2.5163,0.8132,3.3766,0.9752,6495.0000,169,National Australia Bank Limited,2017
1.2354,0.1286,0.4289,1.4387,0.1581,1872.0000,170,National Australia Bank Limited,2010
1.1681,0.1935,1.5418,1.0670,0.5500,2079.0000,171,National Australia Bank Limited,2011
0.8138,0.9380,0.5354,0.1085,0.2269,2325.0000,172,National Australia Bank Limited,2012
0.6086,0.5043,0.7213,0.1993,0.4611,2408.0000,173,National Australia Bank Limited,2013
1.2969,1.2874,0.9459,0.9318,0.5149,3559.0000,174,National Australia Bank Limited,2014
0.8864,0.3620,0.6847,0.7354,0.9247,2359.0000,175,National Australia Bank Limited,2015
1.3763,0.5738,0.8533,0.2876,0.6371,2531.0000,176,National Australia Bank Limited,2016
2.0223,0.6069,0.4864,0.6730,0.0702,3438.0000,177,National Australia Bank Limited,2017
1.4927,0.8033,0.6454,0.6229,0.1964,3525.0000,178,National Australia Bank Limited,2018
0.8635,0.7348,0.3683,0.5383,0.8169,2732.0000,179,National Australia Bank Limited,2019
1.1931,0.4397,0.6175,0.4473,0.2257,4351.0000,180,National Australia Bank Limited,2020
0.2427,0.2368,0.2115,1.1809,0.1544,2042.0000,181,National Australia Bank Limited,2011
1.3031,0.7532,0.8531,0.1832,0.1633,2038.0000,182,National Australia Bank Limited,2012
0.4856,0.1854,0.3370,0.3844,0.2294,2217.0000,183,National Australia Bank Limited,2013
0.8844,1.0734,0.6806,0.6980,0.6473,2680.0000,184,National Australia Bank Limited,2014
1.3347,0.6411,0.9138,1.5217,0.3872,2738.0000,185,National Australia Bank Limited,2015
0.9172,0.6159,0.7199,0.7608,0.4839,3015.0000,186,National Australia Bank Limited,2016
1.0584,0.3731,1.3237,1.2407,0.0748,3734.0000,187,National Australia Bank Limited,2017
1.2255,0.7488,1.0736,1.0526,0.5346,2493.0000,188,National Australia Bank Limited,2018
