innovation,integrity,quality,respect,teamwork,document_length,Unnamed: 0,firm_id,time
2.3193,0.4845,0.9576,0.3528,0.4618,3828.0000,209,Telecom Corp of New Zealand Ltd,2014
1.6645,1.3184,0.5636,0.4823,0.7735,946.0000,210,Vector Limited,2015
0.6906,0.1784,0.1665,0.1929,0.3369,939.0000,211,Vector Limited,2012
3.0372,0.9092,1.4621,0.0682,2.0180,1832.0000,212,Vector Limited,2013
1.7797,2.0181,1.7446,0.0411,2.8304,776.0000,213,Vector Limited,2014
2.0081,0.6403,1.5159,0.1339,0.7636,2439.0000,214,Vector Limited,2015
2.4026,0.4725,1.6136,0.0890,3.3143,1012.0000,215,Vector Limited,2013
2.6853,0.9890,1.1937,0.2849,1.2110,1319.0000,216,Vector Limited,2014
2.3921,1.5063,1.6932,0.4409,1.3799,1415.0000,217,Vector Limited,2015
0.7023,1.1389,1.3822,0.2854,1.1947,1366.0000,218,Vector Limited,2010
0.9972,0.0000,1.0508,0.5275,0.4260,1300.0000,219,Vector Limited,2011
0.1159,0.4671,0.6897,0.0000,0.1150,882.0000,220,Vector Limited,2011
0.8102,0.1835,2.0538,0.0000,1.8866,637.0000,221,Vector Limited,2012
1.0415,2.0748,1.0761,5.4813,1.3762,5612.0000,222,Westpac Banking Corporation,2013
3.7981,0.4649,1.4170,1.0308,0.6467,2086.0000,223,Westpac Banking Corporation,2015
0.8664,0.7284,0.6743,0.8219,1.2851,2691.0000,224,Westpac Banking Corporation,2010
1.3678,0.6616,1.6662,1.3089,0.8207,2478.0000,225,Westpac Banking Corporation,2011
1.1162,0.6460,0.6276,0.5258,0.1028,1731.0000,226,Westpac Banking Corporation,2012
1.1188,0.6836,0.6742,0.6207,0.0683,2726.0000,227,Westpac Banking Corporation,2013
2.7295,0.2203,1.6928,0.4423,0.2479,1344.0000,228,Westpac Banking Corporation,2014
0.7109,0.4034,1.2727,0.5737,0.9903,2006.0000,229,Westpac Banking Corporation,2015
1.3866,0.2149,0.5349,0.1425,0.3489,1572.0000,230,Westpac Banking Corporation,2016
0.6795,0.3110,0.2481,0.2130,0.0000,1446.0000,231,Westpac Banking Corporation,2017
1.9308,0.8246,0.5234,0.7038,1.0055,1795.0000,232,Westpac Banking Corporation,2018
1.1753,0.6828,0.2566,0.6797,0.4650,1888.0000,233,Westpac Banking Corporation,2019
0.9831,1.0752,0.6555,1.5181,0.9613,3619.0000,234,Westpac Banking Corporation,2020
0.6606,0.3881,0.4491,0.6078,0.3345,2531.0000,235,Westpac Banking Corporation,2011
1.4446,0.4463,0.6719,0.9817,0.3688,2974.0000,236,Westpac Banking Corporation,2012
0.4759,0.2856,0.8756,0.0935,0.2628,1615.0000,237,Westpac Banking Corporation,2013
1.1008,0.1101,0.4934,0.5049,0.0832,1870.0000,238,Westpac Banking Corporation,2014
1.6079,1.2776,0.4495,1.2988,0.3295,1880.0000,239,Westpac Banking Corporation,2015
0.2614,0.4872,0.4674,0.8304,0.3434,1872.0000,240,Westpac Banking Corporation,2016
0.2169,0.5123,0.6118,0.1783,0.2754,1744.0000,241,Westpac Banking Corporation,2017
1.1994,0.9176,0.4908,0.8894,0.6738,1482.0000,242,Westpac Banking Corporation,2018
0.4224,0.0000,0.4415,0.2244,0.2633,1386.0000,243,Westpac Banking Corporation,2019
0.4096,0.9679,0.7493,2.1731,0.6176,3145.0000,244,Westpac Banking Corporation,2020
1.8286,0.4697,1.2706,1.6251,0.2512,3285.0000,245,Westpac Banking Corporation,2021
1.1404,0.2914,1.4721,0.4281,0.6097,3035.0000,246,Westpac Banking Corporation,2011
1.4507,0.2301,0.8949,1.0960,0.9838,2599.0000,247,Westpac Banking Corporation,2012
0.4684,0.2365,0.1579,0.3698,0.3560,2010.0000,248,Westpac Banking Corporation,2021
0.9181,0.2987,0.5513,0.6783,0.9571,2388.0000,249,Westpac Banking Corporation,2011
0.4402,0.5535,0.4699,1.0139,0.5034,2985.0000,250,Westpac Banking Corporation,2020
